0;0,1010,1,0,1,1010000,0010,011111
1;0
1;011,1,00010
0;0000,10101,10111,0,010010,001010,010001,011011
1;1010001,01111
1;01,110,0011111,000,1100,010010
0;01111,01,0,0001,01110,1000011,0000111
0;00010,0,000110,1110111,00011,01100
0;000,011,00010,011,00000,00,01
0;0000010,10000,00100,100,101,00000,1010
0;01,11011,0110010,1001001,0010,00001,1110010
1;001000,01
0;1,00011,0010101,011111,10001,01,110,01000
1;011010,101000
0;000,1000,0
1;10,0000
0;0001,001,01101,0110010,10,100,10000,1111,1,11
0;0111100,1,1101,0011100,011,01
1;10000,110001,0100010,101
1;0,110110,10010,110111
1;0101010
1;011110,0001111
1;1101,11010,0111
0;1110100,0,1011,101,11110
0;110,10101,0100111,1,101001,0110
0;1,11,11,0111101,11
1;011,10
1;001101
0;10111,000,0
1;000,100010,1000101,11,100
1;1
0;1000010,0,1110,101,00000,000,1100001
0;0,1,1110100,00,0
1;10,0,111111,01011
1;011,00,1,1110100,00,1
0;1000101,110111,110101,011,00000,000100,000,1,10,11100
0;100011,001,001100,001001,111010,00100
1;11001,1000111,0101100,1000,10101,11
0;00110,01100,11,0,010001,111,1111110,1110,000001
1;10000,001100
1;0,01,0,110
0;000100,1,0011000,10,00111,001101,0
1;10
1;11010,00,1001
1;110
0;11,0,101,1,1,101000
1;11001,1001,10
0;0100010,100,0,111110,1011110,11100,1111110,001,111001
1;1011111,0100,100101,0001101,110011,010110,1101,111101,1111
1;011
0;100,0,1100111,11,000010
1;1100,10011,000001,0111
0;010,1,0000,101
0;00110,00,001,100
0;100,010010,10110,1,1,1,00111
1;00,10110
0;011,10,1011,1111111,100,1,11010
0;00,000
0;0110111,11,0011001,0,0,10,1110101,1100110,01
0;0110010,1010,011,1,0111,111001,0111110,011111
0;11101,01,1,00110,0001011,11,000010,0100010,101111
0;011100,01,0000,1101101,11,1100010,0110,100111
1;0010,000100,01,0110011,0101010,01000,11,00110
0;110,1,1100,0000010,101011,111,001,101111
0;00,0101,0111,10,0000
0;00,010,000
1;0101,110110,0111010,100011,111011
0;1000101,00110,01,1001011,011,1001001,00,011,1100000,0
1;1101,01001
0;1001,1,001,010101,101100
0;01,00,1101010,11,010,11111,0101101,0011000,101011
1;1101,0
1;11,011
0;00,1001,0,0001,11,010,1011100
1;111,01000,111,0111,100,010100,1011101,101000
0;0,11001,10,111,0101,11111,001101,111,11
0;000011,10,00011,100110,0101111,01,1011001
1;0110001,001100
0;1001,1,1,0011011,0,100,1,010101
0;01,0,0101,01000,001,100000,0111010,110
0;100010,1111011,0001,1010110,110,01110,1010,1101111,1,10
0;01,1001111,11,000,000001,010010,10
0;001,10,001111,011,1110011,00010,0,00
1;0101,00011,0111011,10
1;1,000,10
1;1000,001011,1010,110011,011,111010,0111
1;1001,1011011,01
1;0100101
0;110100,10,01,00,0000,1,110,0100
1;01,0001
0;10010,0000,0,00110
0;100,101100,00,1,11,101110,010001,1,111000
0;10100,101,1011111,0,111,1101001,0001
1;000,01111,0110111,0101110,101,1110111,0000111
1;110,10101
0;010,1000,001001,010010
1;1011101,11010,011010
0;0110101,11,0111100,011,110,11010,1100,1001
1;00101,11001,101
0;00,01111,110000,01100,001101,1,01100,1000000
0;1111,1,1,1,0,1010,1011,0000010
